Building_Code,Date,Gas_Consumption,Month,Year,Season
G501 Staff Club Gas meter,2023-03-01,990.04,3,2023,Autumn
G601,2023-03-01,395.92,3,2023,Autumn
G608,2023-03-01,2364.47,3,2023,Autumn
G60X,2023-03-01,100.0,3,2023,Autumn
F204,2023-04-01,2117.82,4,2023,Autumn
F402,2023-04-01,9127.11,4,2023,Autumn
F405,2023-04-01,891.9,4,2023,Autumn
F512,2023-04-01,5854.68,4,2023,Autumn
F516/17,2023-04-01,2159.46,4,2023,Autumn
F603,2023-04-01,921.11,4,2023,Autumn
F620 Psychology 2,2023-04-01,5448.35,4,2023,Autumn
F62X,2023-04-01,3927.06,4,2023,Autumn
F916,2023-04-01,54209.26,4,2023,Autumn
F940,2023-04-01,17271.6,4,2023,Autumn
G403 Biochemistry Gas meter,2023-04-01,33.24,4,2023,Autumn
G404 Microbiology Gas meter,2023-04-01,16878.415,4,2023,Autumn
G412,2023-04-01,3177.02,4,2023,Autumn
G501 Staff Club Gas meter,2023-04-01,883.96,4,2023,Autumn
G601,2023-04-01,639.57,4,2023,Autumn
G608,2023-04-01,3408.53,4,2023,Autumn
G60X,2023-04-01,0.0,4,2023,Autumn
F204,2023-05-01,4696.02,5,2023,Autumn
F402,2023-05-01,7559.02,5,2023,Autumn
F405,2023-05-01,6140.41,5,2023,Autumn
F512,2023-05-01,13629.93,5,2023,Autumn
F516/17,2023-05-01,4075.6,5,2023,Autumn
F603,2023-05-01,1400.08,5,2023,Autumn
F620 Psychology 2,2023-05-01,5342.21,5,2023,Autumn
F62X,2023-05-01,4563.88,5,2023,Autumn
F916,2023-05-01,106281.36,5,2023,Autumn
F940,2023-05-01,26300.94,5,2023,Autumn
G403 Biochemistry Gas meter,2023-05-01,62.23,5,2023,Autumn
G404 Microbiology Gas meter,2023-05-01,19464.895,5,2023,Autumn
G412,2023-05-01,1092.1,5,2023,Autumn
G501 Staff Club Gas meter,2023-05-01,1485.06,5,2023,Autumn
G601,2023-05-01,730.93,5,2023,Autumn
G608,2023-05-01,3562.06,5,2023,Autumn
G60X,2023-05-01,0.0,5,2023,Autumn
F204,2023-06-01,5678.2,6,2023,Winter
F402,2023-06-01,10252.93,6,2023,Winter
F405,2023-06-01,14064.63,6,2023,Winter
F512,2023-06-01,12669.64,6,2023,Winter
F516/17,2023-06-01,4531.83,6,2023,Winter
F603,2023-06-01,1805.37,6,2023,Winter
F620 Psychology 2,2023-06-01,5306.83,6,2023,Winter
F62X,2023-06-01,3962.43,6,2023,Winter
F916,2023-06-01,22491.08,6,2023,Winter
F940,2023-06-01,27139.34,6,2023,Winter
G403 Biochemistry Gas meter,2023-06-01,42.43,6,2023,Winter
G404 Microbiology Gas meter,2023-06-01,18421.815,6,2023,Winter
G412,2023-06-01,11715.24,6,2023,Winter
G501 Staff Club Gas meter,2023-06-01,1732.57,6,2023,Winter
G601,2023-06-01,944.12,6,2023,Winter
G608,2023-06-01,4667.53,6,2023,Winter
G60X,2023-06-01,3260.14,6,2023,Winter
F204,2023-07-01,7498.0,7,2023,Winter
F402,2023-07-01,7528.0,7,2023,Winter
F405,2023-07-01,27911.0,7,2023,Winter
F512,2023-07-01,17327.0,7,2023,Winter
F516/17,2023-07-01,4800.0,7,2023,Winter
F603,2023-07-01,2630.0,7,2023,Winter
F620 Psychology 2,2023-07-01,4599.25,7,2023,Winter
F62X,2023-07-01,4125.0,7,2023,Winter
F916,2023-07-01,91851.0,7,2023,Winter
F940,2023-07-01,28062.87,7,2023,Winter
G403 Biochemistry Gas meter,2023-07-01,18.03,7,2023,Winter
G404 Microbiology Gas meter,2023-07-01,19593.965,7,2023,Winter
G412,2023-07-01,53925.0,7,2023,Winter
G501 Staff Club Gas meter,2023-07-01,1732.57,7,2023,Winter
G601,2023-07-01,1010.0,7,2023,Winter
G608,2023-07-01,4568.0,7,2023,Winter
G60X,2023-07-01,1195.0,7,2023,Winter
F204,2023-08-01,8593.0,8,2023,Winter
F402,2023-08-01,7559.0,8,2023,Winter
F405,2023-08-01,23807.0,8,2023,Winter
F512,2023-08-01,20565.0,8,2023,Winter
F516/17,2023-08-01,5718.0,8,2023,Winter
F603,2023-08-01,2383.0,8,2023,Winter
F620 Psychology 2,2023-08-01,4846.91,8,2023,Winter
F62X,2023-08-01,4184.0,8,2023,Winter
F916,2023-08-01,36294.0,8,2023,Winter
F940,2023-08-01,30191.84,8,2023,Winter
G403 Biochemistry Gas meter,2023-08-01,70.72,8,2023,Winter
G404 Microbiology Gas meter,2023-08-01,20808.205,8,2023,Winter
G412,2023-08-01,18887.0,8,2023,Winter
G501 Staff Club Gas meter,2023-08-01,2262.95,8,2023,Winter
G601,2023-08-01,770.0,8,2023,Winter
G608,2023-08-01,4283.0,8,2023,Winter
G60X,2023-08-01,275.0,8,2023,Winter
F204,2023-09-01,9178.0,9,2023,Spring
F402,2023-09-01,9202.0,9,2023,Spring
F405,2023-09-01,23417.0,9,2023,Spring
F512,2023-09-01,22678.0,9,2023,Spring
F516/17,2023-09-01,5450.0,9,2023,Spring
F603,2023-09-01,4637.0,9,2023,Spring
F620 Psychology 2,2023-09-01,3785.54,9,2023,Spring
F62X,2023-09-01,4060.0,9,2023,Spring
F916,2023-09-01,51686.0,9,2023,Spring
F940,2023-09-01,435901.71,9,2023,Spring
G403 Biochemistry Gas meter,2023-09-01,42.43,9,2023,Spring
G404 Microbiology Gas meter,2023-09-01,21328.335,9,2023,Spring
G412,2023-09-01,15545.0,9,2023,Spring
G501 Staff Club Gas meter,2023-09-01,1485.06,9,2023,Spring
G601,2023-09-01,920.0,9,2023,Spring
G608,2023-09-01,4266.0,9,2023,Spring
G60X,2023-09-01,41296.0,9,2023,Spring
F204,2023-10-01,5770.0,10,2023,Spring
F402,2023-10-01,9337.0,10,2023,Spring
F405,2023-10-01,16271.0,10,2023,Spring
F512,2023-10-01,15768.0,10,2023,Spring
F516/17,2023-10-01,3589.0,10,2023,Spring
F603,2023-10-01,1769.0,10,2023,Spring
F620 Psychology 2,2023-10-01,3750.16,10,2023,Spring
F62X,2023-10-01,3502.0,10,2023,Spring
F916,2023-10-01,780.0,10,2023,Spring
F940,2023-10-01,145320.69,10,2023,Spring
G403 Biochemistry Gas meter,2023-10-01,32.18,10,2023,Spring
G404 Microbiology Gas meter,2023-10-01,19669.645,10,2023,Spring
G412,2023-10-01,237.0,10,2023,Spring
G501 Staff Club Gas meter,2023-10-01,1378.98,10,2023,Spring
G601,2023-10-01,761.0,10,2023,Spring
G608,2023-10-01,3593.0,10,2023,Spring
G60X,2023-10-01,42049.0,10,2023,Spring
F204,2023-11-01,5758.0,11,2023,Spring
F402,2023-11-01,9640.0,11,2023,Spring
F405,2023-11-01,16653.0,11,2023,Spring
F512,2023-11-01,14012.0,11,2023,Spring
F516/17,2023-11-01,4097.0,11,2023,Spring
F603,2023-11-01,1397.0,11,2023,Spring
F620 Psychology 2,2023-11-01,2582.66,11,2023,Spring
F62X,2023-11-01,2683.0,11,2023,Spring
F916,2023-11-01,11980.0,11,2023,Spring
F940,2023-11-01,79662.44,11,2023,Spring
G403 Biochemistry Gas meter,2023-11-01,86.63,11,2023,Spring
G404 Microbiology Gas meter,2023-11-01,18644.035,11,2023,Spring
G412,2023-11-01,609.0,11,2023,Spring
G501 Staff Club Gas meter,2023-11-01,1378.98,11,2023,Spring
G601,2023-11-01,881.0,11,2023,Spring
G608,2023-11-01,3983.0,11,2023,Spring
G60X,2023-11-01,8829.21,11,2023,Spring
F204,2023-12-01,4300.0,12,2023,Summer
F402,2023-12-01,6728.0,12,2023,Summer
F405,2023-12-01,14165.0,12,2023,Summer
F512,2023-12-01,12882.0,12,2023,Summer
F516/17,2023-12-01,2465.0,12,2023,Summer
F603,2023-12-01,1032.0,12,2023,Summer
F620 Psychology 2,2023-12-01,3077.96,12,2023,Summer
F62X,2023-12-01,4637.0,12,2023,Summer
F916,2023-12-01,2239.0,12,2023,Summer
F940,2023-12-01,153549.56,12,2023,Summer
G403 Biochemistry Gas meter,2023-12-01,118.1,12,2023,Summer
G404 Microbiology Gas meter,2023-12-01,17275.12,12,2023,Summer
G412,2023-12-01,7669.0,12,2023,Summer
