Building,2022-01-01 00:00:00,2022-02-01 00:00:00,2022-03-01 00:00:00,2022-04-01 00:00:00,2022-05-01 00:00:00,2022-06-01 00:00:00,2022-07-01 00:00:00,2022-08-01 00:00:00,2022-09-01 00:00:00,2022-10-01 00:00:00,2022-11-01 00:00:00,2022-12-01 00:00:00,2023-01-01 00:00:00,2023-02-01 00:00:00,2023-03-01 00:00:00,2023-04-01 00:00:00,2023-05-01 00:00:00,2023-06-01 00:00:00,2023-07-01 00:00:00,2023-08-01 00:00:00,2023-09-01 00:00:00,2023-10-01 00:00:00,2023-11-01 00:00:00,2023-12-01 00:00:00,2024-01-01 00:00:00,2024-02-01 00:00:00,2024-03-01 00:00:00,2024-04-01 00:00:00,2024-05-01 00:00:00,2024-06-01 00:00:00,2024-07-01 00:00:00,2024-08-01 00:00:00,2024-09-01 00:00:00,2024-10-01 00:00:00,2024-11-01 00:00:00,2024-12-01 00:00:00,2025-01-01 00:00:00,2025-02-01 00:00:00,2025-03-01 00:00:00,2025-04-01 00:00:00,2025-05-01 00:00:00
,16634.0,15790.0,19969.0,18571.0,21909.0,22878.0,26818.0,25908.0,25087.0,22399.87109375,17240.3203125,15197.57,12444.16,12331.26,15157.5,15472.64,18434.3,17960.58,19276.29,20465.02,18115.46,16984.45,15260.16,12803.46,13183.87,14156.29,17629.44,18262.91,20807.68,17103.74,20336.51,20950.02,19475.97,4911.36,14171.0,212101.5,212101.5,212101.5,212101.5,212101.5,212101.5
,2074.0,2263.0,2343.0,2968.0,3569.0,4558.0,6283.0,5806.0,5722.0,5184.43212890625,3251.8720703125,2053.36,775.33,254.56,203.5,162.46,297.36,524.69,606.7,686.08,612.93,356.88,428.75,189.55,657.39,989.6,1503.15,1715.79,2335.89,1066.34,2221.6,2531.22,2215.92,497.31,1389.0,212101.5,212101.5,212101.5,212101.5,212101.5,212101.5
,3684.0,3509.0,3978.0,4521.0,5153.0,5334.0,5400.0,5707.0,5328.0,5279.16796875,4430.080078125,4233.47,3289.68,3320.78,3257.28,4069.07,4339.89,4454.86,4426.77,4709.38,4377.25,4566.5,4289.95,3719.65,3180.8,2741.38,4227.78,4531.07,4828.13,4489.76,4812.35,4821.92,4402.27,1136.93,5542.0,212101.5,212101.5,212101.5,212101.5,212101.5,212101.5
,14536.0,13171.0,14418.0,14312.0,15584.0,17409.0,18481.0,16094.0,14788.0,14518.5283203125,13236.8642578125,14005.89,14956.29,15404.93,16426.37,16214.02,15262.34,14541.31,15721.47,16763.01,14626.56,14330.75,13536.13,15684.61,17016.96,15766.66,16360.19,15856.77,16742.02,16264.45,15050.5,18430.72,16752.64,4628.74,14171.0,212101.5,212101.5,212101.5,212101.5,212101.5,212101.5
,144766.0,135177.0,156041.0,149607.0,162692.0,163106.0,167652.0,164350.0,152730.0,156156.921875,148409.34375,151717.89,157411.33,144988.16,167715.84,157297.66,166341.63,168643.58,174352.39,173496.31,163222.53,161936.39,165067.78,168750.08,167402.5,156158.97,166820.86,162790.41,174148.61,167731.2,178936.83,178402.3,169021.44,174530.56,177331.174,212101.5,212101.5,212101.5,212101.5,212101.5,212101.5
,17018.0,18031.0,21186.0,20140.0,25463.0,29156.0,31791.0,29279.0,24787.0,20698.880859375,16445.18359375,15522.3,14908.67,14994.69,18892.8,17336.06,20287.49,26217.73,28550.14,29927.17,22114.3,20811.01,19259.39,15597.82,15017.73,14398.21,16729.86,18967.3,24427.01,22372.61,25731.33,26103.04,22313.73,6135.04,23508.008666666665,212101.5,212101.5,212101.5,212101.5,212101.5,212101.5
,2951.0,2790.0,2846.0,2635.0,3236.0,3253.0,2782.0,2630.0,2329.0,2665.672119140625,3911.719970703125,4562.12,6418.16,6951.7,7449.7,6954.67,7661.62,6461.24,6093.3,4812.1,6564.35,5207.62,2942.4,4673.99,4571.89,6752.4,6608.69,5754.85,3716.88,3372.59,4863.87,4562.34,4219.14,5088.43,8271.0,212101.5,212101.5,212101.5,212101.5,212101.5,212101.5
,8531.0,7153.0,10246.0,9480.0,10586.0,9822.0,8189.0,9110.0,8779.0,8073.5361328125,5309.2158203125,4611.81,5775.12,3367.6,5102.18,6061.3,119.2,130.99,119.7,118.42,113.78,1596.96,7568.59,6582.38,7250.8,548.42,116.21,121.09,508.62,2983.14,333.6,118.02,113.02,116.37,1389.0,212101.5,212101.5,212101.5,212101.5,212101.5,212101.5
,7551.0,7270.0,8272.0,7167.0,5102.0,3700.0,3271.0,3827.0,2932.0,4247.50390625,6234.68017578125,6808.4,7727.74,7974.69,8704.98,6949.47,7454.92,4761.42,3807.7,3499.06,4597.39,4911.63,3848.94,4745.36,5669.44,6608.56,6717.17,6294.1,4794.78,3387.33,3739.41,4256.69,4322.02,4822.61,8271.0,212101.5,212101.5,212101.5,212101.5,212101.5,212101.5
,2784.0,2088.0,2334.0,2175.0,2743.0,2663.0,2490.0,2587.0,2569.0,3054.360107421875,4469.47607421875,6041.82,6479.56,3932.32,5837.06,4227.05,6214.39,8108.14,7950.3,8083.05,9611.49,10335.54,9966.52,11743.81,12397.76,11672.94,11401.23,10703.58,8449.22,7543.84,8291.6,7346.34,7343.47,8547.23,11509.0,212101.5,212101.5,212101.5,212101.5,212101.5,212101.5
,1434.0,1304.0,1494.0,1525.0,1819.0,1862.0,1555.0,1525.0,1403.0,1622.468017578125,1845.18798828125,1949.63,3070.04,4102.2,2179.85,889.7,2451.24,1371.13,1409.08,1459.14,1770.94,1864.08,1685.19,2805.88,2591.14,4204.18,3804.17,2974.62,3465.93,3343.91,4091.92,3983.54,4469.95,4893.58,3158.6666666666665,212101.5,212101.5,212101.5,212101.5,212101.5,212101.5
,6870.0,7820.0,9295.0,11303.0,20466.0,24005.0,26470.0,27920.0,24384.0,19158.271484375,9323.583984375,9694.46,7358.85,6912.9,10572.22,11960.0,17779.9,25637.06,30180.16,32131.33,20672.51,17035.07,15071.55,10589.12,9619.14,9625.34,15590.02,18782.85,31821.57,27753.6,32741.38,32333.76,25001.73,18721.09,23508.008666666665,212101.5,212101.5,212101.5,212101.5,212101.5,212101.5
,99281.0,87614.0,101867.0,90905.0,95245.0,94547.0,81149.0,90479.0,92471.0,100374.2734375,135999.75,104441.6,110138.11,108091.39,105197.57,99039.74,100496.9,98004.99,98439.68,104721.66,94280.45,119765.51,113734.66,117110.53,148580.36,102839.3,106365.19,103396.87,106544.64,106797.57,107563.01,105120.77,90998.27,109484.03,131271.50733333334,212101.5,212101.5,212101.5,212101.5,212101.5,212101.5
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,575.6513333333334,212101.5,212101.5,212101.5,212101.5,212101.5,212101.5
,0.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.47,0.0,1307.82,1487.83,150.77,200.39,146.48,194.63,135.59,126.8,177.39,736.8,0.0,214.41,2826.28,6303.22,190.05,148.71,1470.6513333333332,212101.5,212101.5,212101.5,212101.5,212101.5,212101.5
