Meter_location,Jan_2022,Feb_2022,Mar_2022,Apr_2022,May_2022,Jun_2022,Jul_2022,Aug_2022,Sep_2022,Oct_2022,Nov_2022,Dec_2022,Jan_2023,Feb_2023,Mar_2023,Apr_2023,May_2023,Jun_2023,Jul_2023,Aug_2023,Sep_2023,Oct_2023,Nov_2023,Dec_2023,Jan_2024,Feb_2024,Mar_2024,Apr_2024,May_2024,Jun_2024,Jul_2024,Aug_2024,Sep_2024,Oct_2024,Nov_2024,Dec_2024
E811 Te Rangihiroa SW Riser DB.TRH5B Lighting Essential,0.0,0.0,0.0,0.0,0.0,0.0,12.08,390.44,257.26,368.69,189.33,172.93,95.82,139.76,240.46,212.58,220.75,196.52,12.08,390.44,257.26,368.69,189.33,172.93,191.63,279.51,480.93,425.16,441.5,393.04,409.16,445.95,422.09,451.46,0.0,0.0
E811 Te Rangihiroa SW Riser DB.TRH5B Lighting Non-Essential,0.0,0.0,0.0,0.0,0.0,0.0,16.66,254.99,63.7,35.9,12.96,5.77,17.92,60.26,132.04,144.1,160.0,125.6,16.66,254.99,63.7,35.9,12.96,5.77,35.83,120.53,264.09,288.19,320.01,251.2,200.75,287.75,243.37,302.03,0.0,0.0
E811 Te Rangihiroa SW Riser DB.TRH5B Power Non-Essential,0.0,0.0,0.0,0.0,0.0,0.0,0.28,2.99,0.88,80.54,8.94,8.26,16.77,57.9,153.07,143.1,152.06,120.2,0.28,2.99,0.88,80.54,8.94,8.26,33.55,115.81,306.14,286.2,304.12,240.41,237.42,308.04,275.6,307.8,0.0,0.0
E811 Te Rangihiroa Rising Main North-West,0.0,0.0,0.0,0.0,0.0,0.0,86.14,2106.92,4826.25,6119.59,9298.1,12733.87,6760.74,6923.88,8500.75,8134.83,8547.97,7654.92,86.14,2106.92,4826.25,6119.59,9298.1,12733.87,13521.48,13847.75,17001.51,16269.66,17095.94,15309.84,15885.19,17066.99,16310.75,17135.81,0.0,0.0
E811 Te Rangihiroa NW Riser DB.TRH1C Lighting Essential,0.0,0.0,0.0,0.0,0.0,0.0,15.53,230.42,313.08,419.73,319.98,290.68,210.74,241.48,357.14,341.67,351.62,296.91,15.53,230.42,313.08,419.73,319.98,290.68,421.48,482.96,714.28,683.34,703.24,593.82,615.26,690.65,655.72,707.75,0.0,0.0
E811 Te Rangihiroa NW Riser DB.TRH1C Lighting Non-Essential,0.0,0.0,0.0,0.0,0.0,0.0,0.39,14.82,100.47,63.94,62.99,7.57,15.44,40.09,87.32,100.52,126.88,67.91,0.39,14.82,100.47,63.94,62.99,7.57,30.89,80.18,174.65,201.03,253.77,135.82,155.01,224.58,200.91,244.18,0.0,0.0
E811 Te Rangihiroa NW Riser DB.TRH1C Power Essential,0.0,0.0,0.0,0.0,0.0,0.0,6.16,112.5,368.57,829.05,1365.07,2096.56,1051.13,970.46,1034.1,1003.48,1034.06,1001.66,6.16,112.5,368.57,829.05,1365.07,2096.56,2102.26,1940.93,2068.21,2006.96,2068.11,2003.33,2069.3,2069.72,2006.72,2076.62,0.0,0.0
E811 Te Rangihiroa NW Riser DB.TRH1C Power Non-Essential,0.0,0.0,0.0,0.0,0.0,0.0,4.29,316.05,48.88,100.58,107.21,136.09,72.94,91.4,137.23,136.86,150.78,111.93,4.29,316.05,48.88,100.58,107.21,136.09,145.89,182.79,274.46,273.72,301.57,223.86,261.37,329.35,316.17,352.22,0.0,0.0
E811 Te Rangihiroa NW Riser DB.TRH2C Lighting Essential,0.0,0.0,0.0,0.0,0.0,0.0,14.17,196.36,255.72,562.2,279.53,243.73,184.35,243.28,366.72,340.41,365.49,306.82,14.17,196.36,255.72,562.2,279.53,243.73,368.7,486.55,733.44,680.82,730.98,613.64,631.35,736.15,691.84,740.33,0.0,0.0
E811 Te Rangihiroa NW Riser DB.TRH2C Lighting Non-Essential,0.0,0.0,0.0,0.0,0.0,0.0,4.91,152.41,190.24,76.06,77.43,1.63,16.32,33.06,64.61,66.0,80.74,59.93,4.91,152.41,190.24,76.06,77.43,1.63,32.65,66.13,129.22,132.01,161.47,119.86,128.87,186.86,146.68,182.24,0.0,0.0
E811 Te Rangihiroa NW Riser DB.TRH2C Power Essential,0.0,0.0,0.0,0.0,0.0,0.0,10.17,11.25,321.91,457.74,1284.1,2068.26,1041.77,970.9,1032.08,1000.26,1019.86,991.28,10.17,11.25,321.91,457.74,1284.1,2068.26,2083.54,1941.8,2064.17,2000.51,2039.72,1982.57,2057.18,2050.34,1992.59,2059.77,0.0,0.0
E811 Te Rangihiroa NW Riser DB.TRH2C Power Non-Essential,0.0,0.0,0.0,0.0,0.0,0.0,12.87,163.93,49.88,100.54,106.85,133.98,73.64,135.38,264.62,240.27,241.08,172.46,12.87,163.93,49.88,100.54,106.85,133.98,147.27,270.76,529.24,480.54,482.16,344.93,311.97,422.06,398.75,374.06,0.0,0.0
E811 Te Rangihiroa NW Riser DB.TRH3C Lighting Essential,0.0,0.0,0.0,0.0,0.0,0.0,12.75,253.49,337.68,403.51,275.73,243.97,175.66,249.64,353.86,331.55,356.66,301.32,12.75,253.49,337.68,403.51,275.73,243.97,351.31,499.29,707.72,663.1,713.31,602.64,621.88,710.05,672.51,723.41,0.0,0.0
E811 Te Rangihiroa NW Riser DB.TRH3C Lighting Non-Essential,0.0,0.0,0.0,0.0,0.0,0.0,5.9,14.16,181.7,21.49,39.31,1.35,10.24,37.64,94.26,103.72,122.2,79.69,5.9,14.16,181.7,21.49,39.31,1.35,20.48,75.28,188.52,207.44,244.41,159.39,151.51,238.36,195.91,234.1,0.0,0.0
E811 Te Rangihiroa NW Riser DB.TRH3C Power Essential,0.0,0.0,0.0,0.0,0.0,0.0,12.57,149.17,241.49,452.82,1306.62,2095.44,1051.08,975.42,1040.94,1008.66,1038.84,1004.8,12.57,149.17,241.49,452.82,1306.62,2095.44,2102.17,1950.85,2081.88,2017.33,2077.67,2009.59,2080.23,2078.58,2017.84,2081.0,0.0,0.0
E811 Te Rangihiroa NW Riser DB.TRH3C Power Non-Essential,0.0,0.0,0.0,0.0,0.0,0.0,6.44,339.73,57.08,87.47,65.49,128.62,69.03,84.76,139.77,143.25,152.4,113.32,6.44,339.73,57.08,87.47,65.49,128.62,138.05,169.51,279.54,286.5,304.8,226.63,267.79,337.64,310.58,350.27,0.0,0.0
